Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	1327221850	Resume_All_Global			\Default Work Unit\Resume_All_Global	
	3493516265	Pause_All_Global			\Default Work Unit\Pause_All_Global	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	154332458	WalkieTalkie_IN_05	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_in_05_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2344
	160029535	UNB-BM-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-bm-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18833
	171852403	UNB-NH-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-nh-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12196
	222251975	UNB-RH-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-rh-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14526
	241281798	UNA-GG-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-gg-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16012
	260542699	WalkieTalkie_OUT_05	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_05_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2032
	296510554	UNA-NH-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-nh-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	21554
	302248483	UNB-OB-CP_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-cp_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	9236
	302361834	UNA-BM-LO_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-bm-lo_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20555
	323616383	UNA-BM-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-bm-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22184
	324373550	UNB-NH-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-nh-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13547
	334920825	UNA-HS-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-hs-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22382
	335324092	UNB-BM-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-bm-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20400
	346143568	UNA-OB-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12893
	352019296	WalkieTalkie_IN_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_in_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2935
	385859352	UNA-DB-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-db-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20310
	407699839	UNA-BM-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-bm-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	34368
	431999696	WalkieTalkie_OUT_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1607
	440704108	UNB-OB-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19394
	465726618	UNB-GG-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-gg-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18929
	473745409	UNB-HS-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-hs-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12115
	528410234	UNB-OB-OS_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-os_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12833
	533589659	UNB-HS-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-hs-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	27073
	566477244	UNA-RH-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-rh-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	10947
	605195977	UNA-NH-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-nh-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16563
	615211791	UNB-RH-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-rh-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	9324
	623421104	WalkieTalkie_IN_03	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_in_03_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3620
	625976811	UNA-OB-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14060
	630542219	UNB-BM-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-bm-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16192
	647502295	UNA-DB-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-db-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11792
	680889701	WalkieTalkie_OUT_07	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_07_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_07	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1604
	689721741	UNB-OB-OS_03	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-os_03_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14602
	728268619	UNB-GG-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-gg-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16065
	729243488	UNA-BM-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-bm-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20398
	740266105	UNA-HS-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-hs-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16421
	744200626	UNA-OB-OS_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-os_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11842
	755600443	UNB-NH-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-nh-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	24088
	787555637	UNA-OB-OS_03	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-os_03_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15921
	854311290	UNA-DB-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-db-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	17248
	856886473	UNA-HS-LO_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-hs-lo_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11641
	898084552	UNA-OB-CP_02	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-cp_02_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12043
	904429250	UNA-OB-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-ob-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20570
	920042801	UNB-OB-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15586
	921528663	WalkieTalkie_IN_04	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_in_04_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2542
	924301855	WalkieTalkie_IN_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_in_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2555
	927632933	WalkieTalkie_OUT_04	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_04_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2505
	929317968	UNB-DB-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-db-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13497
	940172438	UNA-RH-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-rh-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14109
	951541173	UNB-OB-CP_03	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-ob-cp_03_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19692
